NOM;ADRESSE;NUMERO;CODE POSTAL;LOCALITE;CATEGORIE;TYPE;TELEPHONE
Carolo travel;Chaussée de Charleroi;6;6061.0;Montignies-sur-Sambre;Voyages;;071/30.54.14
King mobile;Chaussée de Charleroi;203;6061.0;Montignies-sur-Sambre;Téléphonie;;0466/08.56.35
Tahiti Sun;Chaussée de Charleroi;299;6061.0;Montignies-sur-Sambre;Bien-être;;071/311853
Peron;Chaussée de Charleroi;234;6061.0;Montignies-sur-Sambre;Banque & Assurance;;071/205660
Vela;Chaussée de Charleroi;280;6061.0;Montignies-sur-Sambre;Mode;Lingerie;0488/421360
DI FILIPPO;Chaussée de Chatelineau;272;6061.0;Montignies-sur-Sambre;Construction;;071/515300
AUTO 5;Chaussée de Chatelineau;315;6061.0;Montignies-sur-Sambre;Voiture;;071/397120
Le Garage à Pizza;Chaussée de Namur;25;6061.0;Montignies-sur-Sambre;Snack;Pizzeria;0499/19.19.39
Chassis Max;Chaussée Solvay;55;6061.0;Montignies-sur-Sambre;Construction;Châssis;071/30.20.35
Efe cars;Emile Dutrieux;9;6061.0;Montignies-sur-Sambre;Voiture;;0484/47.76.97
Hainaut pêche;Place Albert 1er;35b;6061.0;Montignies-sur-Sambre;Loisirs;Pêche;071/30.33.85
Optique Gérard;Place Albert 1er;42a;6061.0;Montignies-sur-Sambre;Opticien;;071/32.08.11
Alimentation « Chez Altay »;Chaussée de Charleroi;1 C;6061.0;Montignies-sur-Sambre;Alimentation générale;;071/47.66.36
Bertinchamps;Place Emile Vandervelde;32;6061.0;Montignies-sur-Sambre;Funérarium;;071/419603
Oger;Rue  Spinois;43;6061.0;Montignies-sur-Sambre;Coiffeur;;071/311929
Le Tassili;Rue Aimé Mignolet;1;6061.0;Montignies-sur-Sambre;Café;;
PRINTBOX;Rue Brachot;11;6061.0;Montignies-sur-Sambre;Imprimeur;;071 43 23 33
Servi Freins;Rue Brigade Piron;116;6061.0;Montignies-sur-Sambre;Voiture;;071/311595
GARAGE ECLAIR ZANINI;Rue de la Fontaine;22;6061.0;Montignies-sur-Sambre;Voiture;;071/319319
Vandenborre;Rue de la Persévérance;11;6061.0;Montignies-sur-Sambre;Electronique;Electro-ménager;071/421103
Basic-Fit;Rue de la Persévérance;14;6061.0;Montignies-sur-Sambre;Sport;Salle de fitness;02/5887710
La Newille;Rue du commerce;46;6061.0;Montignies-sur-Sambre;Café;;
BRION ET CHARLOT SA;Rue du Marais;2;6061.0;Montignies-sur-Sambre;Industrie;Menuiserie;071/301198
VITRERIE VINCENT GLASS;Rue du Marais;35;6061.0;Montignies-sur-Sambre;Construction;Vitrage;071 32 97 88
TOUTOUTIF;Rue du Poirier;216;6061.0;Montignies-sur-Sambre;Toilettage;;071/31.27.36
Yvon Lorge;Rue Samaritaine;40;6061.0;Montignies-sur-Sambre;Immobilier;;071/319120
TATOO AUGUSTO;Rue Trieu Kaisin;175 A;6061.0;Montignies-sur-Sambre;Tattoo;;071/303689
Quality Confort;Chaussée de Bruxelles;161;6040.0;Jumet;Maison & Décoration;Meubles;04/388 21 11
Halloint;Chaussée de Bruxelles;372 A;6040.0;Jumet;Construction;Vêtement de travail;071/37 75 90
Optical Center;Chaussée de Bruxelles;378 A;6040.0;Jumet;Opticien;;
Sun Prestige;Chaussée de Gilly;164 B;6040.0;Jumet;Bien-être;;071/35 00 48
Jad;Place du Ballon;37;6040.0;Jumet;Boulangerie;;071/875765
Les Délicatesses de Pierrot;Rue Bayemont;30;6040.0;Jumet;Alimentation générale;;071/344937
Au Tout Chaud;Rue César de Paepe;87;6040.0;Jumet;Boulangerie;;
Catherine Dehon;Rue César de Paepe;113-115;6040.0;Jumet;Coiffeur;;
Coiffure Homme;Rue César de Paepe;128;6040.0;Jumet;Coiffeur;;
Rach Kaji Luminaires;Rue de Marchienne;7 - 9;6040.0;Jumet;Maison & Décoration;;
Styl & Coiff;Rue de Marchienne;17;6040.0;Jumet;Coiffeur;;
Espace DJ'S;Rue de Marchienne;43;6040.0;Jumet;Electronique;;
L'As de la Presse;Rue de Marchienne;47;6040.0;Jumet;Librairie;;
Clover & Clo;Rue Hubert Bastin;7;6040.0;Jumet;Mode;;071/34 63 83
Meo Anne-Marie;Rue Jules Copée;28;6040.0;Jumet;Bien-être;Ongles;071/37 55 61
Beauté Passion;Rue Léopold Jacqmain;114;6040.0;Jumet;Bien-être;;071/35 10 35
Valérie Lorenzo;Rue Puissant;16;6040.0;Jumet;Photographe;;0479/70 12 46
Art Metal;Rue Rogier;94;6040.0;Jumet;Industrie;Ferronerie;071/50 56 00
Zen Institut;Rue Surlet;5;6040.0;Jumet;Bien-être;;
Le Royal;Place Arthur Stilmant;5;6040.0;Jumet;Café;;
Chiko's House & Burger's;Place du Ballon;14;6040.0;Jumet;Snack;;
Snack de Bayemont;Rue Bayemont;8;6040.0;Jumet;Snack;;
Blue Ice;Rue César de Paepe;111;6040.0;Jumet;Café;Chicha;
Café Lacroix;Rue Joseph Wauters;2;6040.0;Jumet;Café;;
2 HB;Rue Hubert Bastin;7;6040.0;Jumet;Coiffeur;Commerciale de coiffure;071/37 52 71
Ladbrokes;Rue Puissant;17;6040.0;Jumet;Paris sportifs;;071/35 25 36
Garage du Carrosse;Chaussée de Bruxelles;422 A;6040.0;Jumet;Voiture;;
Rapid Pneus;Chaussée de Bruxelles;1;6040.0;Jumet;Voiture;;0473/57 14 12
Idéal wash;Chaussée de Bruxelles;371;6040.0;Jumet;Car-wash;;071/95 65 69
Chez Memet;Chaussée du Château Mondron;62;6040.0;Jumet;Alimentation générale;;071/42 14 12
Ideal Shoes;Place du Ballon;20;6040.0;Jumet;Mode;Chaussures;
Mirac Discount;Place du Ballon;6;6040.0;Jumet;Solderie;;
Charles Renard;Place du Chef-Lieu;10;6040.0;Jumet;Funérarium;;071/31 36 62
Nanine Voyage;Place Raymond Delvaux;2;6040.0;Jumet;Voyages;;
Ecem Market;Rue César de Paepe;94;6040.0;Jumet;Alimentation générale;;
Epicerie;Rue César de Paepe;126;6040.0;Jumet;Alimentation générale;;
Le Vespéral;Rue de la Station;84;6040.0;Jumet;Alimentation générale;;0465/65 09 02
Streveler;Rue de Lodelinsart;52 A;6040.0;Jumet;Construction;Toiture;071/50 57 17
Lavoir Laundry;Rue Pierre-Joseph Wéry;41;6040.0;Jumet;Lavoir;;
Sodial;ZI Quatrième rue;5;6040.0;Jumet;Grossiste;Poisson;
Securoptic;Avenue de Waterloo;19;6000.0;Charleroi;Opticien;;071/31.51.34
Boucherie Charcuterie Royale;Avenue de Waterloo;32;6000.0;Charleroi;Boucherie;;
Le Métro;Avenue de Waterloo;36;6000.0;Charleroi;Café;;0476/87.34.62
Boucherie Al Boustane;Avenue de Waterloo;42;6000.0;Charleroi;Boucherie;;
Librairie L'âge D'Or;Avenue de Waterloo;44;6000.0;Charleroi;Librairie;;071/31.20.55
Black Beauty;Avenue de Waterloo;66;6000.0;Charleroi;Bien-être;;071/32.66.95
Royal Nord;Avenue de Waterloo;71;6000.0;Charleroi;Café;;071/32.54.92
Electro Média;Avenue Jules Hénin;20;6000.0;Charleroi;Electronique;;071/30.29.00
Voyages Liberté Güzel;Avenue Jules Hénin;22;6000.0;Charleroi;Voyages;;071/32.75.25
Snack Waterloo;Avenue Jules Hénin;28;6000.0;Charleroi;Snack;;
Supermarket;Boulevard Paul Janson;24;6000.0;Charleroi;Alimentation générale;;
Shop;Boulevard Paul Janson;30;6000.0;Charleroi;Alimentation générale;;
Karantika;Rue du Mambourg;10;6000.0;Charleroi;Boulangerie;;
Azaanpress Shop;Boulevard Jacques Bertrand;53;6000.0;Charleroi;Librairie;;0468/36.37.18
Le Sainte Barbe;Place Charles II;13;6000.0;Charleroi;Café;;071/31.54.23
Halal Fried Chicken;Place du Manège;6;6000.0;Charleroi;Snack;;071/16.38.24
Chez Pippo & Fils;Place du Manège;10;6000.0;Charleroi;Snack;;071/31.54.32
Chez Adem;Place du Manège;19;6000.0;Charleroi;Snack;;071/12.50.31
La Maison Du Coiffeur;Rue Charnoy;28;6000.0;Charleroi;Coiffeur;Vente de produits;071/31.32.34
Café « Le Chavanne »;Rue Chavannes;4;6000.0;Charleroi;Café;;
La Macédoine;Rue Chavannes;38;6000.0;Charleroi;Café;;
BT Holidays;Rue de la Régence;14;6000.0;Charleroi;Voyages;;071/39.29.68
Custhome;Rue de la Régence;21-23;6000.0;Charleroi;Maison & Décoration;Meubles;0493/73.31.67
Tout Pour Elle;Rue de la Régence;29;6000.0;Charleroi;Coiffeur;;0483/35.83.60
Coiffure L'Oriental;Rue de la Régence;60;6000.0;Charleroi;Coiffeur;;
Ronan-Vin.com La Vinothèque;Rue de la Science;1;6000.0;Charleroi;Vins & spiritueux;;0472/81.61.18
Le Temps De Midi;Rue de la Science;20;6000.0;Charleroi;Snack;Sandwicherie;0479/77.76.64
L'Atelier à Pâtes;Rue Neuve;22;6000.0;Charleroi;Traiteur;Italien;071/32.46.17
Bijouterie istambul;Rue Neuve;44;6000.0;Charleroi;Bijouterie;;071/33.33.61
Ikaros;Rue Neuve;46;6000.0;Charleroi;Snack;;071/79.61.60
Jypex;Rue Neuve;58;6000.0;Charleroi;Mode;;0475233048
Maison Pilloy;Rue Neuve;60;6000.0;Charleroi;Autres;Articles cadeaux – Listes de mariage;071/32.66.73
Boulangerie Turquoise;Rue Neuve;78;6000.0;Charleroi;Boulangerie;;
Cité D'Or;Rue Neuve;87;6000.0;Charleroi;Bijouterie;Rachat or;071/50.22.64
Ludo Trotter;Rue Tumelaire;6;6000.0;Charleroi;Loisirs;Jeux;0471/18.81.78
Club Titanic;Rue Turenne;31;6000.0;Charleroi;Café;;0487/56.82.69
La Mer Noire;Rue Turenne;47;6000.0;Charleroi;Café;;0485/45.10.14
Sandwicherie Huzur;Avenue Des Alliés;1;6000.0;Charleroi;Snack;;
Stock Européen;Avenue Des Alliés;9;6000.0;Charleroi;Maison & Décoration;Tissus d'ameublement;071/31.51.84
Sport Faillite;Boulevard de l'Yser;17;6000.0;Charleroi;Sport;;071/33.40.14
Zeeman;Rue De La Montagne;55-57;6000.0;Charleroi;Mode;;071/63.47.54
Urban Fashion;Rue De La Montagne;71;6000.0;Charleroi;Mode;;0497/65.52.12
Les Filles d'à Coté;Avenue De L'Europe;3-5;6000.0;Charleroi;Café;;0499/80.04.76
Spawn Bar;Avenue De L'Europe;58;6000.0;Charleroi;Café;;0471/03.84.61
Buz Tattoo;Galerie Bernard;18;6000.0;Charleroi;Tattoo;;071/33.00.89
Wonderfriends;Rue De Montigny;13;6000.0;Charleroi;Maison & Décoration;;0491/07.62.16
Chez Maria Couture;Rue De Montigny;30;6000.0;Charleroi;Mode;Couture;071/30.56.42
Angel's Coiffure;Rue De Montigny;32;6000.0;Charleroi;Coiffeur;;071/50.02.84
Le Casse-Croûte;Rue De Montigny;33;6000.0;Charleroi;Snack;Sandwicherie;071/32.57.58
Family Games Center;Boulevard Tirou;149;6000.0;Charleroi;Casino;;
Akgül Pneus;Rue De Montigny;126;6000.0;Charleroi;Voiture;Pneus;071/32.71.85
Auto Ecole Starter;Rue Du Pont Neuf;11;6000.0;Charleroi;Auto-école;;071/31.63.17
Optique Lefèvre;Boulevard Tirou;109A;6000.0;Charleroi;Opticien;;071/32.74.97
Furnal Optique;Boulevard Tirou;129-131;6000.0;Charleroi;Opticien;;071/31.56.51
Bijouterie Ginion;Boulevard Tirou;139;6000.0;Charleroi;Bijouterie;;071/32.22.94
Brasserie Des Colonnades;Boulevard Tirou;141;6000.0;Charleroi;Café;;071/23.29.31
Acres;Boulevard Tirou;151;6000.0;Charleroi;Banque & Assurance;;071/20.90.30
Qualias Optique – Optirou;Boulevard Tirou;165;6000.0;Charleroi;Opticien;;071/30.40.00
Cordonnerie Tirou;Boulevard Tirou;173;6000.0;Charleroi;Mode;Cordonnier;0484/05.32.75
Gai Décor;Boulevard Tirou;217;6000.0;Charleroi;Maison & Décoration;;071/32.00.82
Optique Chaudron;Rue De Marcinelle;1;6000.0;Charleroi;Opticien;;071/32.41.10
Sun Shop;Rue Tumelaire;55;6000.0;Charleroi;Alimentation générale;;0486/07.08.94
Night & Day;Boulevard Tirou;15;6000.0;Charleroi;Librairie;;071/50.54.26
Le Pain Quotidien;Boulevard Tirou;67-71;6000.0;Charleroi;Boulangerie;;071/32.27.82
Librairie du Triangle;Rue De La Fenderie;1;6000.0;Charleroi;Librairie;;0472/83.16.66
Imagine;Rue De Marchienne;27;6000.0;Charleroi;Autres;Disquaire;
HM Cuir;Rue Du Comptoir;14;6000.0;Charleroi;Mode;;
Auto Ecole Henry;Place De La Digue;28;6000.0;Charleroi;Auto-école;;071/31.21.14
Tout à Sec;Place De La Digue;40;6000.0;Charleroi;Mode;Nettoyage à sec;071/31.46.30
Snack XL;Place De La Digue;41;6000.0;Charleroi;Snack;;071/70.34.18
Vansteckelmans & Fils;Rue Du Grand Central;29;6000.0;Charleroi;Boucherie;;071/32.13.29
ZEN ZONE;Rue Du Grand Central;57;6000.0;Charleroi;Coiffeur;;0497/07.07.45
IKKS;Rue De Dampremy;6;6000.0;Charleroi;Mode;;071/30.20.46
One Step;Rue De Dampremy;13;6000.0;Charleroi;Mode;;071/32.20.06
